0.825382,1.030942,guessZero
0.823051,1.178717,itemBasedCF,CorrelationSimilarity,1
0.705531,0.903184,itemBasedCF,CorrelationSimilarity,10
0.691725,0.886605,itemBasedCF,CosineSimilarity,20
0.718821,0.929641,itemBasedCF,CorrelationSimilarity,5
0.727244,0.961967,itemBasedCF,AdjustedCosineSimilarity,3
0.695272,0.896449,itemBasedCF,CosineSimilarity,10
0.691726,0.886646,itemBasedCF,AdjustedCosineSimilarity,20
0.800346,1.152732,itemBasedCF,AdjustedCosineSimilarity,1
0.708304,0.923289,itemBasedCF,AdjustedCosineSimilarity,5
0.706552,0.899563,itemBasedCF,CorrelationSimilarity,20
0.708397,0.923528,itemBasedCF,CosineSimilarity,5
0.741507,0.972724,itemBasedCF,CorrelationSimilarity,3
0.695232,0.896344,itemBasedCF,AdjustedCosineSimilarity,10
0.801311,1.153769,itemBasedCF,CosineSimilarity,1
0.727368,0.962176,itemBasedCF,CosineSimilarity,3
0.709965,0.904617,slopeOne
0.724767,0.921581,PLSA,2,1,true
0.724783,0.921598,PLSA,2,3,true
0.724767,0.921581,PLSA,2,1,false
0.724785,0.921596,PLSA,2,5,true
0.724780,0.921593,PLSA,2,3,false
0.724785,0.921592,PLSA,2,10,true
0.724791,0.921595,PLSA,2,5,false
0.724778,0.921585,PLSA,2,10,false
0.724767,0.921581,PLSA,5,1,true
0.724872,0.921712,PLSA,5,3,true
0.724767,0.921581,PLSA,5,1,false
0.724886,0.921667,PLSA,5,5,true
0.724902,0.921675,PLSA,5,3,false
0.724863,0.921654,PLSA,5,10,true
0.724847,0.921657,PLSA,5,5,false
0.724862,0.921667,PLSA,5,10,false
0.724767,0.921581,PLSA,10,1,true
0.724767,0.921581,PLSA,10,1,false
0.726015,0.922879,PLSA,10,3,true
0.725699,0.922750,PLSA,10,5,true
0.725629,0.922557,PLSA,10,3,false
0.725806,0.922726,PLSA,10,5,false
0.725283,0.922157,PLSA,10,10,true
0.724767,0.921581,PLSA,15,1,true
0.724767,0.921581,PLSA,15,1,false
0.725193,0.922090,PLSA,10,10,false
0.726261,0.924098,PLSA,15,3,true
0.727557,0.925203,PLSA,15,3,false
0.727402,0.925422,PLSA,15,5,true
0.726065,0.923899,PLSA,15,5,false
0.724767,0.921581,PLSA,25,1,false
0.724767,0.921581,PLSA,25,1,true
0.725755,0.923238,PLSA,15,10,true
0.725848,0.923478,PLSA,15,10,false
0.729591,0.928510,PLSA,25,3,true
0.727364,0.926458,PLSA,25,3,false
0.727988,0.927528,PLSA,25,5,true
0.724767,0.921581,PLSA,40,1,true
0.724767,0.921581,PLSA,40,1,false
0.724736,0.924004,PLSA,25,5,false
0.728522,0.928672,PLSA,25,10,true
0.725842,0.925939,PLSA,25,10,false
0.721164,0.919137,PLSA,40,3,true
0.721240,0.919472,PLSA,40,3,false
0.717949,0.917062,PLSA,40,5,true
0.718569,0.916367,PLSA,40,5,false
0.718556,0.918056,PLSA,40,10,true
0.723669,0.923934,PLSA,40,10,false
0.724767,0.921581,PLSA,60,1,true
0.724767,0.921581,PLSA,60,1,false
0.724767,0.921581,PLSA,80,1,true
0.724767,0.921581,PLSA,80,1,false
0.714440,0.912131,PLSA,60,3,true
0.715804,0.913477,PLSA,60,3,false
0.723464,0.923144,PLSA,60,5,true
0.718997,0.917797,PLSA,60,5,false
0.709011,0.905865,PLSA,80,3,true
0.707178,0.902684,PLSA,80,3,false
0.721444,0.921476,PLSA,60,10,true
0.719993,0.917963,PLSA,60,10,false
0.707796,0.902803,PLSA,80,5,false
0.708240,0.904289,PLSA,80,5,true
0.722790,0.921369,PLSA,80,10,true
0.721642,0.919020,PLSA,80,10,false
